image,bee_id,frame_id,angle_deg,angle_smooth,angle_var,wiggle,hive_health_score
pose/video_1536_bee_id6003_f2738.png,6003,2738,257.6375075842857,254.9337929859022,94.80501609417479,False,Low activity
pose/video_1536_bee_id6003_f2739.png,6003,2739,268.49256424122507,270.7967588446076,97.723094606052,False,Low activity
pose/video_1536_bee_id6003_f2740.png,6003,2740,286.26020470831196,269.07573352527135,133.16011796270308,False,Stress
pose/video_1536_bee_id6003_f2741.png,6003,2741,252.47443162627712,256.4507389749053,191.74548802939367,False,Stress
pose/video_1536_bee_id6003_f2742.png,6003,2742,230.61758059012683,242.5930428048433,124.93331830157392,False,Stress
pose/video_1536_bee_id6003_f2743.png,6003,2743,244.68711619812586,241.9548873200255,81.3031705427015,False,Low activity
pose/video_1536_bee_id6003_f2744.png,6003,2744,250.55996517182382,252.34476706022124,89.71116870001228,False,Low activity
pose/video_1536_bee_id6003_f2745.png,6003,2745,261.7872198107141,262.89579224281596,66.60952624296232,False,Low activity
pose/video_1536_bee_id6003_f2746.png,6003,2746,276.3401917459099,259.1306412849013,75.18776690571579,False,Low activity
pose/video_1536_bee_id6003_f2747.png,6003,2747,239.2645122980799,250.02234208400515,80.55121334463335,False,Low activity
pose/video_1536_bee_id6003_f2748.png,6003,2748,234.46232220802563,240.51218186999435,65.52475345304141,False,Low activity
pose/video_1536_bee_id6003_f2749.png,6003,2749,247.80971110387748,247.9009638106885,117.49342315754666,False,Stress
pose/video_1536_bee_id6003_f2750.png,6003,2750,261.4308581201624,259.7468564080133,115.77587808877148,False,Stress
pose/video_1536_bee_id6003_f2751.png,6003,2751,270.0,268.2996957930265,132.66797562244003,False,Stress
pose/video_1536_bee_id6003_f2752.png,6003,2752,273.4682292589172,256.97175930041357,323.0603310186364,False,Stress
pose/video_1536_bee_id6003_f2753.png,6003,2753,227.4470486423236,238.27048148820157,353.4294172114227,False,Stress
pose/video_1536_bee_id6003_f2754.png,6003,2754,213.89616656336392,223.967720822999,168.2109217653633,False,Stress
pose/video_1536_bee_id6003_f2755.png,6003,2755,230.55994726330954,229.0597834811866,110.30975180297938,False,Low activity
pose/video_1536_bee_id6003_f2756.png,6003,2756,242.7232366168863,244.09321434281546,117.10412629811252,False,Stress
pose/video_1536_bee_id6003_f2757.png,6003,2757,258.9964591482505,249.50703508382958,67.79875278124067,False,Low activity
pose/video_1536_bee_id6003_f2758.png,6003,2758,246.80140948635182,242.70469782504446,57.153921698550974,False,Low activity
pose/video_1536_bee_id6003_f2759.png,6003,2759,222.31622484053102,233.9040925651581,52.61551598115895,False,Low activity
pose/video_1536_bee_id6003_f2760.png,6003,2760,232.59464336859145,231.20224823784383,37.69355200349959,False,Low activity
pose/video_1536_bee_id6003_f2761.png,6003,2761,238.695876504409,239.30176627192887,47.479362383337374,False,Low activity
pose/video_1536_bee_id6003_f2762.png,6003,2762,246.61477894278624,246.12771412768276,46.47528955810233,False,Low activity
pose/video_1536_bee_id6003_f2763.png,6003,2763,253.07248693585296,246.27348547583404,13.898763692846455,True,Healthy
pose/video_1536_bee_id6003_f2764.png,6003,2764,239.1331905488629,247.17007558355087,49.773548750930615,False,Low activity
pose/video_1536_bee_id6003_f2765.png,6003,2765,249.3045492659367,249.1679743430146,124.0681051182134,False,Stress
pose/video_1536_bee_id6003_f2766.png,6003,2766,259.06618321424423,262.72560841335934,117.53978252192002,False,Stress
pose/video_1536_bee_id6003_f2767.png,6003,2767,279.80609275989707,271.29878374422697,72.35464111694138,False,Low activity
pose/video_1536_bee_id6003_f2768.png,6003,2768,275.02407525853954,267.35973055854964,40.301479917967825,False,Low activity
pose/video_1536_bee_id6003_f2769.png,6003,2769,247.24902365721238,258.98676018498185,41.82068234499839,False,Low activity
pose/video_1536_bee_id6003_f2770.png,6003,2770,254.68718163919368,255.4318852880831,84.99878085499175,False,Low activity
pose/video_1536_bee_id6003_f2771.png,6003,2771,264.35945056784317,266.0784894281319,197.00816632568842,False,Stress
pose/video_1536_bee_id6003_f2772.png,6003,2772,279.18883607735876,279.3718193219344,168.916980662683,False,Stress
pose/video_1536_bee_id6003_f2773.png,6003,2773,294.56717132060135,288.75317863257584,106.27586024264099,False,Low activity
pose/video_1536_bee_id6003_f2774.png,6003,2774,292.5035284997674,278.7093497567935,,False,Low activity
pose/video_1536_bee_id6003_f2775.png,6003,2775,249.0573494500117,263.8592571426264,,False,Low activity
pose/video_1536_bee_id6003_f2776.png,6003,2776,250.01689347810003,,,False,Low activity
pose/video_612_2018-10-13T20-03-09_bee_id6521_f2733.png,6521,2733,66.92958775017536,,,False,Low activity
pose/video_612_2018-10-13T20-03-09_bee_id6521_f2734.png,6521,2734,80.53767779197437,89.85784049908919,,False,Low activity
pose/video_612_2018-10-13T20-03-09_bee_id6521_f2735.png,6521,2735,122.10625595511783,106.23247635252771,,False,Low activity
pose/video_612_2018-10-13T20-03-09_bee_id6521_f2736.png,6521,2736,116.05349531049094,,,False,Low activity
pose/video_1071_2018-10-06T20-18-12_bee_id690_f3023.png,690,3023,202.52056560289688,,,False,Low activity
pose/video_788_drohnen_pollen_bee_id765_f1745.png,765,1745,249.81419699053515,,,False,Low activity
pose/video_788_drohnen_pollen_bee_id765_f1746.png,765,1746,253.30075576600638,252.02572832030532,,False,Low activity
pose/video_788_drohnen_pollen_bee_id765_f1747.png,765,1747,252.96223220437435,253.6432343924424,,False,Low activity
pose/video_788_drohnen_pollen_bee_id765_f1748.png,765,1748,254.66671520694644,254.01880127150352,1.340655594518775,True,Healthy
pose/video_788_drohnen_pollen_bee_id765_f1749.png,765,1749,254.42745640318975,254.7835362578885,0.4079674408961696,True,Healthy
pose/video_788_drohnen_pollen_bee_id765_f1750.png,765,1750,255.25643716352926,254.896271479181,,False,Low activity
pose/video_788_drohnen_pollen_bee_id765_f1751.png,765,1751,255.00492087082404,255.15486526309863,,False,Low activity
pose/video_788_drohnen_pollen_bee_id765_f1752.png,765,1752,255.20323775494265,,,False,Low activity
pose/video_788_drohnen_pollen_bee_id970_f2712.png,970,2712,252.20401107606963,,,False,Low activity
pose/video_788_drohnen_pollen_bee_id970_f2713.png,970,2713,251.35820810630065,237.90120157814854,,False,Low activity
pose/video_788_drohnen_pollen_bee_id970_f2714.png,970,2714,210.14138555207535,226.99068450223993,,False,Low activity
pose/video_788_drohnen_pollen_bee_id970_f2715.png,970,2715,219.47245984834382,221.74450022552477,39.26668773893038,False,Low activity
pose/video_788_drohnen_pollen_bee_id970_f2716.png,970,2716,235.61965527615513,233.34155056214615,22.193787455188616,False,Low activity
pose/video_788_drohnen_pollen_bee_id970_f2717.png,970,2717,244.93253656193951,227.1965676211722,,False,Low activity
pose/video_788_drohnen_pollen_bee_id970_f2718.png,970,2718,201.03751102542182,222.15763199089784,,False,Low activity
pose/video_788_drohnen_pollen_bee_id970_f2719.png,970,2719,220.50284838533224,,,False,Low activity
